log_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,event_type,action,user,bytes_sent,bytes_received,duration_ms,failed_login_count_5m,unique_ports_contacted_1m,label
432fe37d-31ad-4cc5-8bed-e4a8d43a82f4,2026-07-22T14:29:05.570063,10.0.29.149,82.145.252.104,49241,5432,TCP,file_access,allow,megancarter,19342,15823,2064,0,3,normal
850a17b8-805b-49e2-9724-bd0cb1853390,2026-07-22T14:29:08.570063,10.0.80.15,45.141.51.74,63989,5432,TCP,network,allow,fmccullough,2426,7907,1658,0,1,normal
bb399ba8-0ec4-4b00-ac18-2f59e646c5ad,2026-07-22T14:29:11.570063,10.0.126.149,206.101.142.167,39986,22,ICMP,auth,login_success,nolanantonio,18721,17330,1300,0,2,normal
341ad4a7-b25a-4879-a012-2754e2ba31d2,2026-07-22T14:29:14.570063,10.0.104.172,181.73.31.34,47960,443,TCP,file_access,login_success,john79,10030,15182,1300,0,1,normal
b7daebba-bff8-4583-935b-540e1c411415,2026-07-22T14:29:17.570063,10.0.4.118,18.41.94.91,41732,5432,TCP,auth,logout,aliciaatkinson,16776,8890,547,0,2,normal
09e0a51c-ae20-45e3-9746-5bc7806ced2c,2026-07-22T14:29:20.570063,10.0.35.226,29.68.40.141,17033,443,UDP,network,login_success,zachary94,10112,17532,37,0,3,normal
6bb7c333-2372-4670-817d-2fad0ce7349e,2026-07-22T14:29:23.570063,10.0.153.239,112.82.136.153,44499,22,TCP,file_access,allow,anthonyharding,18328,5293,1120,0,2,normal
3e14ad49-202d-4fc8-9d1c-de421d16da2e,2026-07-22T14:29:26.570063,10.0.107.184,172.131.223.202,23495,80,ICMP,file_access,logout,pweaver,8428,1864,383,0,3,normal
f9be80f4-3748-4aab-b07d-7865973a5423,2026-07-22T14:29:29.570063,10.0.216.213,156.213.183.157,19156,22,TCP,file_access,allow,bethany58,5494,14678,2264,0,3,normal
a404bd49-9047-4d99-b21f-d0fa2fb9f47f,2026-07-22T14:29:32.570063,10.0.218.144,97.73.245.72,1657,22,TCP,network,logout,yfoster,12298,19287,2268,0,1,normal
862bd46e-aeea-4cbd-83a5-151035fdc561,2026-07-22T14:29:35.570063,10.0.220.33,202.26.246.196,3765,443,UDP,auth,login_success,aliciaatkinson,8376,3568,1453,0,3,normal
7875072c-9ad9-4d00-a5c7-84532666ddd9,2026-07-22T14:29:38.570063,10.0.208.250,145.59.177.19,41699,8080,TCP,network,allow,izamora,13710,1012,739,0,3,normal
c9be02a0-8caf-4575-993a-d1ea48bf5e14,2026-07-22T14:29:41.570063,10.0.170.201,92.102.53.78,62025,3306,ICMP,network,login_success,lynnwilliams,3742,12735,3577,0,1,normal
07b5d5a6-36f1-45b1-83bc-30e509f18cd9,2026-07-22T14:29:44.570063,10.0.240.57,213.47.38.83,14103,53,UDP,file_access,login_success,haguilar,7504,975,2708,0,1,normal
27373ae7-6dab-44e3-bb88-9a91351cd055,2026-07-22T14:29:47.570063,10.0.204.85,141.64.158.63,19282,53,TCP,file_access,login_success,wrightjames,13296,17770,1361,0,1,normal
192dd9d3-9d1a-4626-a01a-4ddaee1a28e7,2026-07-22T14:29:50.570063,10.0.59.225,88.133.136.34,64620,443,TCP,http,login_success,yfoster,3752,19748,1784,0,2,normal
59b16f32-0964-46da-8589-712aa94c732b,2026-07-22T14:29:53.570063,10.0.160.112,169.204.62.201,40752,5432,TCP,dns,logout,mryan,8546,1654,2908,0,2,normal
863c1fd7-11fd-43a7-a38f-433d57aabcef,2026-07-22T14:29:56.570063,10.0.0.134,194.160.6.41,61682,53,ICMP,network,login_success,jeffreysmith,2492,11019,2557,0,2,normal
12481ce7-e67a-4cb7-ac4e-626d27650679,2026-07-22T14:29:59.570063,10.0.63.185,174.95.203.28,60009,443,ICMP,file_access,logout,brenda16,10888,13385,2860,0,2,normal
297143e9-6d5a-4dd2-9508-a315eca909d8,2026-07-22T14:30:02.570063,10.0.65.50,204.164.31.12,28578,8080,UDP,network,logout,jill55,10061,13506,2249,0,1,normal
3442eab2-0398-42bc-8369-4f89325558ce,2026-07-22T14:30:05.570063,10.0.155.74,93.153.163.117,14798,3306,ICMP,http,logout,daniel26,15436,14676,1816,0,3,normal
8049f2c7-44ed-419c-a134-c45f8233c4ac,2026-07-22T14:30:08.570063,10.0.109.131,155.246.169.75,32034,53,ICMP,network,logout,thomasthomas,9499,17090,2724,0,3,normal
0072b917-47f0-467a-87db-5cb75b3029bf,2026-07-22T14:30:11.570063,10.0.171.24,170.77.233.194,54660,53,TCP,file_access,allow,mryan,5028,1000,194,0,1,normal
01d45794-75df-411c-a061-01b1aea5cf2d,2026-07-22T14:30:14.570063,10.0.243.157,55.163.223.20,56712,53,TCP,dns,login_success,jill55,6571,12782,2029,0,2,normal
7144ea6d-647e-4210-9bb8-3a61298a7d48,2026-07-22T14:30:17.570063,10.0.124.38,134.57.33.230,44019,8080,TCP,auth,login_success,haguilar,5963,17172,1907,0,1,normal
440bc15f-a154-4082-a183-a9c268b2684f,2026-07-22T14:30:20.570063,10.0.127.235,162.53.245.93,56620,22,UDP,network,login_success,jenna19,18514,19711,1304,0,2,normal
2f02f06d-ba5e-4c5d-ad2f-c4d901353c27,2026-07-22T14:30:23.570063,10.0.218.213,128.50.198.223,60455,5432,UDP,network,logout,gclark,14947,8693,3084,0,1,normal
814b26c0-0d50-4097-97bd-920810b55fa4,2026-07-22T14:30:26.570063,10.0.141.197,192.18.231.128,51989,5432,UDP,network,login_success,beanjohn,2738,9562,965,0,2,normal
699e5f22-a239-4bbe-a5bb-49ecff296e81,2026-07-22T14:30:29.570063,10.0.171.82,115.208.229.107,59549,5432,TCP,network,allow,haguilar,12751,5207,2898,0,1,normal
a080438d-1e25-493e-80ab-4dae06c0f607,2026-07-22T14:30:32.570063,10.0.32.107,69.39.189.17,27736,443,ICMP,dns,login_success,megancarter,6977,13967,1600,0,3,normal
aad29bb1-cd1c-4dd3-9d7f-018fef3dcdb3,2026-07-22T14:30:35.570063,10.0.10.220,194.149.186.6,58738,53,ICMP,dns,login_success,ysanchez,11726,9984,3091,0,2,normal
46081160-ab06-47ec-b5bd-5720fa412839,2026-07-22T14:30:38.570063,10.0.214.138,18.181.219.191,50013,8080,ICMP,http,allow,pweaver,7390,9143,1790,0,2,normal
42e706e8-7717-45e2-ac51-ed045c41b8d4,2026-07-22T14:30:41.570063,10.0.14.100,166.158.182.129,23052,8080,ICMP,dns,logout,lynnwilliams,15515,4382,2553,0,3,normal
4fd8b2ed-6a8c-4a56-a919-da8e6757bb18,2026-07-22T14:30:44.570063,10.0.13.233,200.205.227.142,26846,5432,ICMP,auth,allow,jeffreysmith,4646,15328,749,0,1,normal
a212af78-59e6-4b8e-95f6-0d96623a8aea,2026-07-22T14:30:47.570063,10.0.133.98,45.56.140.148,22477,80,UDP,file_access,login_success,laurieashley,9317,14013,1038,0,1,normal
6444ad19-2818-4ac6-9de5-01f7a851c141,2026-07-22T14:30:50.570063,10.0.240.5,223.117.148.92,50112,5432,TCP,file_access,allow,jonathanromero,1519,1216,3894,0,1,normal
3d9a5418-a15b-455c-be27-0ee9e9317c98,2026-07-22T14:30:53.570063,10.0.102.215,222.245.61.86,2359,5432,TCP,network,allow,gclark,3948,18680,3887,0,1,normal
2ac46125-02cf-4281-8669-c6685514b81f,2026-07-22T14:30:56.570063,10.0.238.180,94.160.127.63,17817,53,UDP,network,logout,fmccullough,3953,5566,3956,0,2,normal
4a47ecc0-f081-4094-8503-3a1420104df0,2026-07-22T14:30:59.570063,10.0.55.149,81.108.151.71,2706,443,ICMP,dns,login_success,mryan,2690,19601,2833,0,3,normal
8f84ce11-fb0a-46d0-8645-d6e19d179e1a,2026-07-22T14:31:02.570063,10.0.124.27,107.19.139.66,46715,53,UDP,http,allow,jill55,1545,11577,2187,0,2,normal
96cd5a11-ae70-4af7-92e0-5b82e132ef4f,2026-07-22T14:31:04.570063,124.180.175.42,10.0.143.198,40268,54469,UDP,network,deny,laurieashley,49,0,2129,0,1,port_scan
dfe5728e-5232-4bbc-ba81-82784d3a0774,2026-07-22T14:31:04.770063,124.180.175.42,10.0.143.198,26001,16803,ICMP,network,deny,laurieashley,71,0,2847,0,2,port_scan
9ff3a3bf-a4a5-4fd1-a766-8d6300d55e40,2026-07-22T14:31:04.970063,124.180.175.42,10.0.143.198,33488,44343,TCP,network,deny,brenda16,78,0,1480,0,3,port_scan
47d12c67-97ac-4367-ab8c-d9ee78ccb9ab,2026-07-22T14:31:05.170063,124.180.175.42,10.0.143.198,63510,17618,UDP,network,deny,yfoster,44,0,2517,0,4,port_scan
0c937e50-5bb3-4bc7-bcd6-f7278e46f7e7,2026-07-22T14:31:05.370063,124.180.175.42,10.0.143.198,21936,52428,ICMP,network,deny,jonesluis,72,0,2779,0,5,port_scan
e7400af9-112d-475a-8a5e-1eb2cd1b9545,2026-07-22T14:31:05.570063,10.0.189.18,196.216.166.57,34182,8080,UDP,auth,login_success,pweaver,3658,14405,3940,0,2,normal
932b1282-507e-4397-b8dd-0607565446f5,2026-07-22T14:31:05.570063,124.180.175.42,10.0.143.198,3059,64395,TCP,network,deny,jamescynthia,51,0,2445,0,6,port_scan
ce4c0869-b6d5-4fe3-93ae-d08bae599284,2026-07-22T14:31:05.770063,124.180.175.42,10.0.143.198,27255,8619,TCP,network,deny,sarahhill,72,0,2292,0,7,port_scan
b8c30bed-68a0-44f1-861a-b2611bdf8341,2026-07-22T14:31:05.970063,124.180.175.42,10.0.143.198,52276,38541,UDP,network,deny,john79,71,0,716,0,8,port_scan
c51b588c-174b-4ec9-8e07-2533a4383ca5,2026-07-22T14:31:06.170063,124.180.175.42,10.0.143.198,28331,37079,ICMP,network,deny,nolanantonio,54,0,229,0,9,port_scan
e0b69e5f-bb4d-46b4-bc07-f48f41db1dbe,2026-07-22T14:31:06.370063,124.180.175.42,10.0.143.198,16797,45038,ICMP,network,deny,pweaver,56,0,2104,0,10,port_scan
6920d18e-1307-4a4b-8a90-66eed07213bd,2026-07-22T14:31:06.570063,124.180.175.42,10.0.143.198,37417,48091,ICMP,network,deny,jenna19,78,0,1900,0,11,port_scan
f53f3a2a-0cd1-48bf-ab22-99e5fb74db43,2026-07-22T14:31:06.770063,124.180.175.42,10.0.143.198,63523,25340,TCP,network,deny,lynnwilliams,68,0,2540,0,12,port_scan
c2ccdc7c-a841-41f3-8119-c2e28e8f7dd0,2026-07-22T14:31:06.970063,124.180.175.42,10.0.143.198,1507,7997,TCP,network,deny,aliciaatkinson,73,0,300,0,13,port_scan
bf4945be-36db-44d0-b437-bf5c29f29cbd,2026-07-22T14:31:07.170063,124.180.175.42,10.0.143.198,52571,13743,TCP,network,deny,barrsarah,73,0,3511,0,14,port_scan
9d647057-b676-4368-bda5-f496521b1ec8,2026-07-22T14:31:07.370063,124.180.175.42,10.0.143.198,6224,33935,UDP,network,deny,sarahhill,47,0,104,0,15,port_scan
84586891-eebb-4c4e-baa0-46298eb4b7a7,2026-07-22T14:31:07.570063,124.180.175.42,10.0.143.198,9562,3728,UDP,network,deny,thomasthomas,76,0,426,0,16,port_scan
b99a39f6-f6ff-4105-8bc1-cde798d775d4,2026-07-22T14:31:07.770063,124.180.175.42,10.0.143.198,7372,29332,TCP,network,deny,fmccullough,65,0,268,0,17,port_scan
004b599e-2033-4b68-b2fe-3bd467077c70,2026-07-22T14:31:07.970063,124.180.175.42,10.0.143.198,13801,4927,ICMP,network,deny,aliciaatkinson,76,0,728,0,18,port_scan
bc49e70d-5e87-4ddc-9532-17ed067ed4bd,2026-07-22T14:31:08.170063,124.180.175.42,10.0.143.198,40132,36635,TCP,network,deny,laurieashley,55,0,3549,0,19,port_scan
cc86bc48-5e7b-4b0d-9dcb-d5e20c51ed82,2026-07-22T14:31:08.370063,124.180.175.42,10.0.143.198,62344,44419,UDP,network,deny,lynnwilliams,76,0,1497,0,20,port_scan
985796ca-556e-4946-9010-b733700fe924,2026-07-22T14:31:08.570063,10.0.235.182,8.54.66.244,11050,3306,TCP,http,logout,ptaylor,17834,16043,1909,0,2,normal
0722e090-9486-40a2-9666-e85cf6e1fbff,2026-07-22T14:31:08.570063,124.180.175.42,10.0.143.198,49246,57829,TCP,network,deny,barrsarah,65,0,116,0,21,port_scan
19d72b4a-2482-4dea-9fca-ade01ff84c78,2026-07-22T14:31:08.770063,124.180.175.42,10.0.143.198,9677,61778,TCP,network,deny,jill55,71,0,3848,0,22,port_scan
ca1f8471-c035-4925-992f-e7d981fa9c8d,2026-07-22T14:31:08.970063,124.180.175.42,10.0.143.198,58596,24647,ICMP,network,deny,anna25,48,0,911,0,23,port_scan
2f87aeea-d37e-459c-827e-ea031528fb9f,2026-07-22T14:31:09.170063,124.180.175.42,10.0.143.198,26963,2908,TCP,network,deny,daniel68,45,0,1961,0,24,port_scan
8defa4f8-d3dd-4239-a687-054e014d1558,2026-07-22T14:31:09.370063,124.180.175.42,10.0.143.198,38187,60020,ICMP,network,deny,anna25,54,0,2312,0,25,port_scan
7b5f8918-b0a9-46db-882e-f58fb7e759cb,2026-07-22T14:31:09.570063,124.180.175.42,10.0.143.198,44339,47769,UDP,network,deny,mryan,72,0,2413,0,26,port_scan
a29f933b-75bc-4229-9dbd-a4086106e45e,2026-07-22T14:31:09.770063,124.180.175.42,10.0.143.198,1788,28346,ICMP,network,deny,smithjacqueline,42,0,2004,0,27,port_scan
ac2939ca-c0ec-405d-acdf-8ee336b9fd02,2026-07-22T14:31:09.970063,124.180.175.42,10.0.143.198,21345,37376,ICMP,network,deny,reneelewis,41,0,1490,0,28,port_scan
3528ed9a-a3ab-47da-a736-12c353cdf66d,2026-07-22T14:31:11.570063,10.0.137.83,121.227.18.122,56841,80,TCP,file_access,login_success,barrsarah,15427,18872,2504,0,3,normal
a34ec0c1-2e17-4b5f-9a21-b8a73c7e802f,2026-07-22T14:31:14.570063,10.0.194.87,85.47.91.98,2904,3306,UDP,network,login_success,aliciaatkinson,11826,8665,1399,0,2,normal
5d8518c2-3390-4e6e-86d4-eb9f0ee4eef4,2026-07-22T14:31:17.570063,10.0.141.143,221.163.138.245,1689,5432,TCP,auth,allow,brenda16,16209,18392,3110,0,1,normal
a67989d9-1563-4b79-a76e-60759fc17a62,2026-07-22T14:31:20.570063,10.0.243.166,209.143.10.100,47675,3306,UDP,auth,allow,madison21,7461,13451,2838,0,1,normal
7ddf4961-5eae-4932-8ed9-14b1374db10c,2026-07-22T14:31:23.570063,10.0.156.170,21.243.207.29,39136,443,UDP,http,logout,chaseberry,14142,18235,1359,0,2,normal
c16adbf3-4ab0-4974-9eed-1dbaa2844b4a,2026-07-22T14:31:26.570063,10.0.232.70,198.198.92.158,21118,443,TCP,auth,logout,mryan,10539,4117,3047,0,3,normal
03a2cd56-1be4-482d-928e-a2a044aa2cf0,2026-07-22T14:31:29.570063,10.0.94.50,199.191.154.156,15204,8080,UDP,file_access,logout,nolanantonio,17391,19755,1164,0,1,normal
0d67a7fe-b1a8-4d7f-aa4f-154593e5d1d2,2026-07-22T14:31:32.570063,10.0.99.76,171.14.93.52,15932,443,TCP,file_access,allow,zachary94,4347,9188,191,0,1,normal
6cf443cc-1257-42eb-bd27-3a6114cb69df,2026-07-22T14:31:35.570063,10.0.149.179,205.231.140.56,62895,80,ICMP,dns,allow,ysanchez,19010,9517,1927,0,2,normal
6dff6421-e60c-4b6b-ade5-82e1111edff4,2026-07-22T14:31:38.570063,10.0.225.88,200.63.143.207,13106,22,UDP,dns,allow,jonathanromero,13330,16313,308,0,3,normal
07719c0e-37ed-4ebd-8335-7afa68ebad41,2026-07-22T14:31:41.570063,10.0.27.39,199.175.211.116,10801,53,ICMP,file_access,allow,barrsarah,4081,18486,3136,0,2,normal
96c959b4-d5a8-4094-bade-3dbbf8609b3f,2026-07-22T14:31:44.570063,10.0.115.199,173.109.191.67,35271,3306,UDP,dns,login_success,nolanantonio,14251,10206,2334,0,3,normal
ae39c00a-6d15-4710-8d0d-a152073a43f1,2026-07-22T14:31:47.570063,10.0.30.157,79.237.88.220,63945,8080,TCP,network,logout,aliciaatkinson,8871,2860,648,0,1,normal
2b7b9dd8-f157-4538-8f87-4ca0a9c60131,2026-07-22T14:31:50.570063,10.0.88.142,158.118.178.131,5943,80,TCP,dns,login_success,fmccullough,15598,9743,138,0,1,normal
5c45406e-7606-4e93-aa63-01807fc4bd1b,2026-07-22T14:31:53.570063,10.0.147.181,205.77.189.241,19552,8080,UDP,auth,logout,haguilar,8868,19526,2713,0,1,normal
112d44f0-b4d2-4e77-88a2-809ef66796b9,2026-07-22T14:31:56.570063,10.0.217.30,7.124.151.34,36712,80,ICMP,network,login_success,daniel68,2539,2154,684,0,2,normal
4ce03002-38cf-4567-85f0-428091d99d30,2026-07-22T14:31:59.570063,10.0.147.113,178.251.45.102,9173,3306,ICMP,file_access,logout,smithjacqueline,9120,16599,2216,0,2,normal
401826e6-5539-4a42-a5c5-00501e09b0dc,2026-07-22T14:32:02.570063,10.0.224.21,16.161.131.9,40216,22,UDP,file_access,logout,bethany58,1047,3192,942,0,3,normal
c3bddcb2-133c-42f8-888e-0460a8459982,2026-07-22T14:32:05.570063,10.0.10.196,186.93.53.119,45082,53,UDP,http,allow,izamora,15617,17205,2673,0,2,normal
b5c24476-f3e9-4df6-8b6b-93120aec0088,2026-07-22T14:32:08.570063,10.0.142.47,91.196.233.49,39384,3306,ICMP,dns,allow,gclark,11601,13580,1370,0,2,normal
4c71d75f-723d-49b0-9e50-206e67117f93,2026-07-22T14:32:11.570063,10.0.53.220,189.15.179.100,11563,443,UDP,dns,login_success,smithjacqueline,18225,1402,1867,0,1,normal
8b6d377b-9f8a-469c-bb41-1045e776017b,2026-07-22T14:32:14.570063,10.0.161.65,216.63.180.173,22210,22,UDP,http,allow,zachary94,15338,13741,227,0,1,normal
4b467819-e75f-4e2f-8a41-8002b4d03fff,2026-07-22T14:32:17.570063,10.0.185.160,137.22.103.143,50598,3306,ICMP,dns,allow,aliciaatkinson,8950,18196,541,0,2,normal
804bacff-7f1c-4e4b-b12e-d8ddb35f9f09,2026-07-22T14:32:20.570063,10.0.224.226,202.221.187.46,46784,3306,TCP,auth,logout,fmccullough,8041,5389,1277,0,3,normal
e929c3d7-d80a-44e9-8824-c240a2e7e139,2026-07-22T14:32:23.570063,10.0.7.142,170.140.237.59,27762,22,TCP,auth,login_success,reneelewis,5245,16530,3825,0,3,normal
3bee0392-d715-4def-97a1-ed8496e06424,2026-07-22T14:32:26.570063,10.0.149.131,192.225.21.242,47253,443,UDP,dns,login_success,barrsarah,15167,18263,597,0,2,normal
96f9692b-dd72-4eeb-a06d-1bd62f835544,2026-07-22T14:32:29.570063,10.0.97.236,202.124.171.18,40304,5432,ICMP,network,allow,ptaylor,13796,11337,3831,0,3,normal
05188d53-27b4-4bfd-b34e-a168372b148d,2026-07-22T14:32:32.570063,10.0.136.211,62.136.41.225,1192,443,ICMP,file_access,logout,nolanantonio,16244,5069,1834,0,3,normal
a1d6260f-2c07-48c4-a7c5-27785699374d,2026-07-22T14:32:35.570063,10.0.247.89,222.146.84.87,22810,5432,ICMP,dns,login_success,daniel26,6381,8025,2347,0,2,normal
f511d584-ec5b-4418-b78e-c0bef389016d,2026-07-22T14:32:38.570063,10.0.119.220,146.3.183.126,51850,3306,TCP,file_access,logout,gclark,12692,12851,2723,0,3,normal
fa20321b-3ba9-414d-a953-2124435aaa02,2026-07-22T14:32:41.570063,10.0.77.127,112.137.196.73,64254,22,TCP,http,logout,anna25,3488,14627,413,0,3,normal
a5615267-ca99-44e7-bf49-b6269bc2356a,2026-07-22T14:32:44.570063,10.0.233.4,179.255.3.188,48370,80,UDP,network,allow,gclark,8884,11293,2557,0,3,normal
38bf28c7-cfae-4e9e-9041-414e965f1b3f,2026-07-22T14:32:47.570063,10.0.203.167,131.171.196.185,6287,53,UDP,http,login_success,daniel26,16189,17928,152,0,3,normal
7d3f4c8a-ca78-422f-85ed-80df3b7be41a,2026-07-22T14:32:50.570063,10.0.35.61,212.11.236.78,42387,8080,UDP,network,logout,thomasthomas,14420,3425,3119,0,3,normal
508a21e1-4878-49b1-8544-cb313296c24e,2026-07-22T14:32:53.570063,10.0.51.114,28.143.23.17,11926,8080,UDP,auth,allow,daniel26,2038,9813,1473,0,2,normal
3d252ebf-8631-4fcb-be98-6e46ef7256d6,2026-07-22T14:32:56.570063,10.0.220.38,52.7.147.39,17027,5432,UDP,http,logout,izamora,5770,5936,328,0,3,normal
1ae48858-ddff-46bc-88a1-335e6518211b,2026-07-22T14:32:59.570063,10.0.195.159,151.253.249.146,45793,80,UDP,http,allow,haguilar,15310,8522,1887,0,2,normal
e728a6fa-16f9-4ae0-832f-7524bf90d800,2026-07-22T14:33:02.570063,10.0.4.231,164.251.15.187,53756,3306,UDP,http,allow,jonathanromero,14674,11523,2411,0,2,normal
e6bd21cb-5506-48bf-8a8d-0f501e12fe51,2026-07-22T14:33:05.570063,10.0.217.177,13.81.96.146,17414,3306,UDP,network,login_success,gclark,3694,7972,1567,0,3,normal
df5c96d5-c76c-4b32-a76c-76079ea2a705,2026-07-22T14:33:08.570063,10.0.183.148,61.211.215.226,20414,8080,UDP,auth,logout,smithjacqueline,9194,465,2323,0,3,normal
e1504c24-1f0f-47f4-b6b6-7b1bf4f65e1c,2026-07-22T14:33:11.570063,10.0.25.234,132.190.193.202,40765,8080,UDP,file_access,allow,fmccullough,11744,7376,2612,0,1,normal
68d2b08c-3999-4173-b9e6-afefa31d1088,2026-07-22T14:33:14.570063,10.0.128.174,216.164.161.117,50541,8080,ICMP,network,logout,anthonyharding,1491,10323,3235,0,2,normal
2e93e4dd-f136-4bbb-89ad-5f1752ce776a,2026-07-22T14:33:17.570063,10.0.17.149,208.149.155.25,24935,8080,TCP,auth,login_success,daniel26,13815,5955,827,0,1,normal
15a419f3-7189-4037-999b-6b7e3a966eef,2026-07-22T14:33:20.570063,10.0.187.136,197.148.212.174,33909,443,TCP,file_access,login_success,madison21,11299,3973,1923,0,1,normal
3315b7aa-7352-4ea2-aaeb-9bbceeb22610,2026-07-22T14:33:23.570063,10.0.72.194,137.223.231.136,64364,80,ICMP,dns,logout,megan71,3159,13129,62,0,2,normal
2b4bea3e-d94f-44a2-8ac1-cc59aa21ad8c,2026-07-22T14:33:26.570063,10.0.63.117,218.226.239.35,25179,8080,ICMP,file_access,logout,laurieashley,12372,3750,2769,0,1,normal
895593f7-784f-42b9-9fe5-7ef3ad4aa275,2026-07-22T14:33:29.570063,10.0.241.7,146.124.213.88,41626,5432,UDP,http,allow,jonathanromero,15413,10102,2664,0,2,normal
